level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	2590.866211	1726.299194	-1	###PAGE###
3	1	0	0	0	0	2101.097120	24.589634	281.838051	29.346840	-1	###FLOW###
4	1	0	0	0	0	2101.097120	24.589634	281.838051	29.346840	-1	###LINE###
5	1	0	0	0	0	2101.10	24.59	64.41	29.35	100	BILL
5	1	0	0	0	1	2174.30	24.59	43.43	29.35	100	OF
5	1	0	0	0	2	2226.50	24.59	156.44	29.35	100	MATERIAL
3	1	0	1	0	0	1943.778130	60.766514	33.677663	10.906680	-1	###FLOW###
4	1	0	1	0	0	1943.778130	60.766514	33.677663	10.906680	-1	###LINE###
5	1	0	1	0	0	1943.78	60.77	33.68	10.91	100	QUAN
3	1	1	0	0	0	1996.219470	61.010954	33.772410	10.906680	-1	###FLOW###
4	1	1	0	0	0	1996.219470	61.010954	33.772410	10.906680	-1	###LINE###
5	1	1	0	0	0	1996.22	61.01	33.77	10.91	100	MARK
3	1	2	0	0	0	2099.056400	61.010954	79.600729	10.906680	-1	###FLOW###
4	1	2	0	0	0	2099.056400	61.010954	79.600729	10.906680	-1	###LINE###
5	1	2	0	0	0	2099.06	61.01	79.60	10.91	100	DESCRIPTION
3	1	3	0	0	0	2256.251830	61.010954	47.200468	10.906680	-1	###FLOW###
4	1	3	0	0	0	2256.251830	61.010954	47.200468	10.906680	-1	###LINE###
5	1	3	0	0	0	2256.25	61.01	47.20	10.91	100	LENGTH
3	1	4	0	0	0	2330.179390	61.010954	65.890288	10.906680	-1	###FLOW###
4	1	4	0	0	0	2330.179390	61.010954	65.890288	10.906680	-1	###LINE###
5	1	4	0	0	0	2330.18	61.01	37.46	10.91	100	TOTAL
5	1	4	0	0	1	2374.14	61.01	21.93	10.91	100	WT.
3	1	5	0	0	0	2254.699699	128.642234	46.480890	9.107640	-1	###FLOW###
4	1	5	0	0	0	2254.699699	128.642234	46.480890	9.107640	-1	###LINE###
5	1	5	0	0	0	2254.70	128.64	26.68	9.11	100	13'-11
5	1	5	0	0	1	2284.10	128.64	17.08	9.11	100	1/4"
3	1	6	0	0	0	2359.342303	128.642234	16.241683	9.107640	-1	###FLOW###
4	1	6	0	0	0	2359.342303	128.642234	16.241683	9.107640	-1	###LINE###
5	1	6	0	0	0	2359.34	128.64	16.24	9.11	100	417
3	1	7	0	0	0	2447.418400	61.010954	57.714781	10.906680	-1	###FLOW###
4	1	7	0	0	0	2447.418400	61.010954	57.714781	10.906680	-1	###LINE###
5	1	7	0	0	0	2447.42	61.01	57.71	10.91	100	REMARKS
3	1	8	0	0	0	513.958434	105.250874	18.679848	10.794240	-1	###FLOW###
4	1	8	0	0	0	513.958434	105.250874	18.679848	10.794240	-1	###LINE###
5	1	8	0	0	0	513.96	105.25	18.68	10.79	100	4'-0
3	1	8	1	0	0	504.835452	122.984474	37.415061	13.759200	-1	###FLOW###
4	1	8	1	0	0	504.835452	122.984474	37.415061	13.759200	-1	###LINE###
5	1	8	1	0	0	504.84	124.94	25.03	10.79	100	3'-11
5	1	8	1	0	1	530.41	122.98	5.59	9.44	100	3
5	1	8	1	0	2	534.73	123.87	3.33	11.24	100	/
5	1	8	1	0	3	536.66	127.30	5.59	9.44	100	4
3	1	9	0	0	0	465.842982	165.972794	25.485787	10.794240	-1	###FLOW###
4	1	9	0	0	0	465.842982	165.972794	25.485787	10.794240	-1	###LINE###
5	1	9	0	0	0	465.84	165.97	25.49	10.79	100	TYP.
3	1	10	0	0	0	420.365610	173.142554	17.432247	13.406400	-1	###FLOW###
4	1	10	0	0	0	420.365610	173.142554	17.432247	13.406400	-1	###LINE###
5	1	10	0	0	0	420.37	173.14	5.59	9.44	100	3
5	1	10	0	0	1	424.93	174.27	3.33	11.24	100	/
5	1	10	0	0	2	426.61	177.10	11.19	9.44	100	16
3	1	11	0	0	0	474.235212	188.056634	33.433594	10.794240	-1	###FLOW###
4	1	11	0	0	0	474.235212	188.056634	33.433594	10.794240	-1	###LINE###
5	1	11	0	0	0	474.24	188.06	33.43	10.79	100	w1023
3	1	12	0	0	0	425.525877	256.423514	17.432247	26.480160	-1	###FLOW###
4	1	12	0	0	0	425.525877	256.423514	17.432247	13.406400	-1	###LINE###
5	1	12	0	0	0	425.53	256.42	5.59	9.44	100	3
5	1	12	0	0	1	430.09	257.67	3.33	11.24	100	/
5	1	12	0	0	2	431.77	260.38	11.19	9.44	100	16
4	1	12	0	1	0	425.525877	269.497274	17.432247	13.406400	-1	###LINE###
5	1	12	0	1	0	425.53	269.50	5.59	9.44	100	3
5	1	12	0	1	1	430.09	270.75	3.33	11.24	100	/
5	1	12	0	1	2	431.77	273.46	11.19	9.44	100	16
3	1	13	0	0	0	470.992500	262.452794	25.485787	10.794240	-1	###FLOW###
4	1	13	0	0	0	470.992500	262.452794	25.485787	10.794240	-1	###LINE###
5	1	13	0	0	0	470.99	262.45	25.49	10.79	100	TYP.
3	1	14	0	0	0	327.239880	284.651834	31.742040	10.794240	-1	###FLOW###
4	1	14	0	0	0	327.239880	284.651834	31.742040	10.794240	-1	###LINE###
5	1	14	0	0	0	327.24	284.65	31.74	10.79	100	p1021
3	1	15	0	0	0	778.576659	136.783994	11.839443	13.759200	-1	###FLOW###
4	1	15	0	0	0	778.576659	136.783994	11.839443	13.759200	-1	###LINE###
5	1	15	0	0	0	778.58	136.78	5.59	9.44	100	1
5	1	15	0	0	1	783.14	137.67	3.33	11.24	100	/
5	1	15	0	0	2	784.82	141.10	5.59	9.44	100	8
3	1	16	0	0	0	564.471666	146.296634	34.151238	24.468480	-1	###FLOW###
4	1	16	0	0	0	566.880864	146.296634	31.742040	10.794240	-1	###LINE###
5	1	16	0	0	0	566.88	146.30	31.74	10.79	100	p1016
4	1	16	0	1	0	564.471666	159.970874	31.742040	10.794240	-1	###LINE###
5	1	16	0	1	0	564.47	159.97	31.74	10.79	100	p1019
3	1	17	0	0	0	914.638890	136.783994	37.415283	13.759200	-1	###FLOW###
4	1	17	0	0	0	914.638890	136.783994	37.415283	13.759200	-1	###LINE###
5	1	17	0	0	0	914.64	138.73	25.03	10.79	100	3'-11
5	1	17	0	0	1	940.22	136.78	5.59	9.44	100	3
5	1	17	0	0	2	944.54	137.67	3.33	11.24	100	/
5	1	17	0	0	3	946.46	141.10	5.59	9.44	100	4
3	1	17	1	0	0	835.078266	165.131834	31.856220	24.837120	-1	###FLOW###
4	1	17	1	0	0	835.192446	165.131834	31.742040	10.794240	-1	###LINE###
5	1	17	1	0	0	835.19	165.13	31.74	10.79	100	p1016
4	1	17	1	1	0	835.078266	179.174714	31.742040	10.794240	-1	###LINE###
5	1	17	1	1	0	835.08	179.17	31.74	10.79	100	p1016
3	1	18	0	0	0	744.111060	176.651834	33.433594	10.794240	-1	###FLOW###
4	1	18	0	0	0	744.111060	176.651834	33.433594	10.794240	-1	###LINE###
5	1	18	0	0	0	744.11	176.65	33.43	10.79	100	w1025
3	1	19	0	0	0	680.752578	177.734714	47.112050	10.794240	-1	###FLOW###
4	1	19	0	0	0	680.752578	177.734714	47.112050	10.794240	-1	###LINE###
5	1	19	0	0	0	680.75	177.73	47.11	10.79	100	1017FR1
3	1	20	0	0	0	999.502476	175.662554	17.422188	13.406400	-1	###FLOW###
4	1	20	0	0	0	999.502476	175.662554	17.422188	13.406400	-1	###LINE###
5	1	20	0	0	0	999.50	175.66	5.59	9.44	100	3
5	1	20	0	0	1	1004.05	176.79	3.33	11.24	100	/
5	1	20	0	0	2	1005.74	179.62	11.19	9.44	100	16
3	1	21	0	0	0	1002.147993	261.826394	17.301480	26.480160	-1	###FLOW###
4	1	21	0	0	0	1002.147993	261.826394	17.301480	13.396320	-1	###LINE###
5	1	21	0	0	0	1002.15	261.83	5.59	9.44	100	3
5	1	21	0	0	1	1006.58	262.95	3.33	11.24	100	/
5	1	21	0	0	2	1008.26	265.78	11.19	9.44	100	16
4	1	21	0	1	0	1002.147993	274.900154	17.301480	13.406400	-1	###LINE###
5	1	21	0	1	0	1002.15	274.90	5.59	9.44	100	3
5	1	21	0	1	1	1006.58	276.03	3.33	11.24	100	/
5	1	21	0	1	2	1008.26	278.86	11.19	9.44	100	16
3	1	22	0	0	0	958.792296	267.728954	25.485787	10.794240	-1	###FLOW###
4	1	22	0	0	0	958.792296	267.728954	25.485787	10.794240	-1	###LINE###
5	1	22	0	0	0	958.79	267.73	25.49	10.79	100	TYP.
3	1	23	0	0	0	687.352182	282.612794	31.742040	10.794240	-1	###FLOW###
4	1	23	0	0	0	687.352182	282.612794	31.742040	10.794240	-1	###LINE###
5	1	23	0	0	0	687.35	282.61	31.74	10.79	100	p1021
3	1	24	0	0	0	463.561557	292.852394	130.161919	16.303800	-1	###FLOW###
4	1	24	0	0	0	463.561557	292.852394	130.161919	16.303800	-1	###LINE###
5	1	24	0	0	0	463.56	292.85	77.62	16.30	100	SECTION
5	1	24	0	0	1	545.16	292.85	5.79	16.30	100	-
5	1	24	0	0	2	554.89	292.85	12.56	16.30	100	C
5	1	24	0	0	3	571.44	292.85	5.79	16.30	100	-
5	1	24	0	0	4	581.16	292.85	12.56	16.30	100	C
3	1	25	0	0	0	1094.278284	177.849914	47.112050	10.794240	-1	###FLOW###
4	1	25	0	0	0	1094.278284	177.849914	47.112050	10.794240	-1	###LINE###
5	1	25	0	0	0	1094.28	177.85	47.11	10.79	100	1017FR1
3	1	26	0	0	0	902.512974	190.567994	33.433594	10.794240	-1	###FLOW###
4	1	26	0	0	0	902.512974	190.567994	33.433594	10.794240	-1	###LINE###
5	1	26	0	0	0	902.51	190.57	33.43	10.79	100	w1023
3	1	27	0	0	0	834.712890	256.208954	32.461374	24.238080	-1	###FLOW###
4	1	27	0	0	0	834.712890	256.208954	31.742040	10.794240	-1	###LINE###
5	1	27	0	0	0	834.71	256.21	31.74	10.79	100	a1005
4	1	27	0	1	0	835.432224	269.652794	31.742040	10.794240	-1	###LINE###
5	1	27	0	1	0	835.43	269.65	31.74	10.79	100	a1006
3	1	28	0	0	0	588.597900	259.215674	31.742040	10.794240	-1	###FLOW###
4	1	28	0	0	0	588.597900	259.215674	31.742040	10.794240	-1	###LINE###
5	1	28	0	0	0	588.60	259.22	31.74	10.79	100	a1005
3	1	29	0	0	0	1947.622787	128.642234	5.441572	9.107640	-1	###FLOW###
4	1	29	0	0	0	1947.622787	128.642234	5.441572	9.107640	-1	###LINE###
5	1	29	0	0	0	1947.62	128.64	5.44	9.11	100	1
3	1	30	0	0	0	1076.302941	136.783994	11.718735	13.759200	-1	###FLOW###
4	1	30	0	0	0	1076.302941	136.783994	11.718735	13.759200	-1	###LINE###
5	1	30	0	0	0	1076.30	136.78	5.59	9.44	100	1
5	1	30	0	0	1	1080.74	137.67	3.33	11.24	100	/
5	1	30	0	0	2	1082.43	141.10	5.59	9.44	100	8
3	1	31	0	0	0	956.154738	168.495674	25.485787	10.794240	-1	###FLOW###
4	1	31	0	0	0	956.154738	168.495674	25.485787	10.794240	-1	###LINE###
5	1	31	0	0	0	956.15	168.50	25.49	10.79	100	TYP.
3	1	31	1	0	0	872.746560	179.295407	13.759200	18.350529	-1	###FLOW###
4	1	31	1	0	0	872.746560	179.295407	13.759200	18.350529	-1	###LINE###
5	1	31	1	0	0	874.69	191.30	10.79	6.35	100	3
